Title,Company,Location,Salary,Experience
Software Engineer,DataAnnotation,"Laredo, TX",83200.0,standard
Software Developer,Johnson & Johnson,"Danvers, MA",45760.0,standard
Software Engineer,DataAnnotation,"Brockton, MA",83200.0,standard
AI Trainer,DataAnnotation,"Albany, NY",83200.0,standard
Engineer,Visa,"Foster City, CA",113475.0,standard
Software Engineer,Adobe,"San Jose, CA",159850.0,standard
Software Engineer,Subaru of America,"Camden, NJ",100650.0,standard
Developer,Workana,United States,104000.0,standard
AI Trainer,DataAnnotation,"Newport News, VA",83200.0,standard
AI Trainer,DataAnnotation,"Springfield, MO",83200.0,standard
Software Developer,Lower Colorado River Authority,"Austin, TX",159000.0,standard
Engineer,True Manufacturing,"O'Fallon, MO",132500.0,standard
Software Engineer,Spontigo,"Vineyard, UT",52000.0,standard
Software Engineer,Adobe,"Lehi, UT",159850.0,standard
Developer,Workana,United States,104000.0,standard
Software Engineer,Expedia Group,"Springfield, MO",122750.0,standard
Software Engineer,Raytheon,"State College, PA",152000.0,standard
Developer,Pro Elections LLC,"Murphys, CA",56160.0,standard
Software Engineer,Splunk,Colorado,141550.0,standard
Software Engineer,Ivim Services LLC,United States,130000.0,standard
Fresher Java,Aminds Inc,Remote,65000.0,standard
AI Trainer,DataAnnotation,"Springfield, MA",83200.0,standard
Software Engineer,CCC Information Services Inc.,"Chicago, IL",89027.0,standard
Software Engineer,ProFocus,United States,135200.0,standard
Software Engineer,Johnson & Johnson,"Danvers, MA",45760.0,standard
Software Developer,United Airlines,"Chicago, IL",103730.0,standard
AI Trainer,DataAnnotation,"Boulder, CO",83200.0,standard
Software Engineer,Adobe,"Lehi, UT",131900.0,standard
Software Engineer,Siemens,"Bellevue, WA",134167.5,standard
Software Engineer,Blue Star Partners LLC,"Sylmar, CA",93600.0,standard
Developer,Mecklenburg County,"Mecklenburg County, NC",99826.5,standard
Software Engineer,AstraZeneca,"Gaithersburg, MD",153893.0,standard
Software Engineer,Microsoft,United States,153550.0,standard
Software Engineer,University of Wisconsin System,"Kenosha, WI",62500.0,standard
Engineer,Demandwhiz Solutions,United States,122768.01999999999,standard
Engineer,Suzhou Junchuang North America,"Fort Worth, TX",62500.0,standard
Engineer,Air Apps,"San Francisco, CA",87000.0,standard
Software Engineer,Spring Health,"New York, NY",111800.0,standard
Developer,C5T Corporation,"Scott AFB, IL",65000.0,standard
Embedded Software Architect,ASML,"San Diego, CA",192000.0,standard
Software Engineer,"SelectQuote, Inc.","Overland Park, KS",150000.0,standard
Software Engineer,Allstate,United States,88487.5,standard
Developer,Expedite Technology Solutions,"Atlanta, GA",52000.0,standard
Software Engineer,Smart Data Solutions LLC,"Plano, TX",70500.0,standard
Software Developer,The Lockwood Group,"Aberdeen Proving Ground, MD",105000.0,standard
Developer,William & Mary,"Williamsburg, VA",75000.0,standard
Software Engineer,The Seattle Mariners Baseball Club,"Seattle, WA",132500.0,standard
Software Engineer,FairSquare,"San Diego, CA",145000.0,standard
Software Engineer,Point72,"Stamford, NY",212500.0,standard
Developer,Blue Peak Group LLC,"New York, NY",170560.0,standard
Software Engineer,UKG,"Santa Ana, CA",104950.0,standard
Software Engineer,Quartz,"Madison, WI",86850.0,standard
Software Engineer,Point72,"Stamford, NY",225000.0,standard
Software Engineer,Point72,"Stamford, NY",262500.0,standard
