Title,Company,Location,Salary
Software Engineer - AI Trainer,DataAnnotation,"Laredo, TX",From $40 an hour
"Software Dev Co-op, Applied Sciences",Johnson & Johnson,"Danvers, MA",$22 an hour
Backend Software Engineer - AI Trainer,DataAnnotation,"Brockton, MA",From $40 an hour
Software Developer - AI Trainer,DataAnnotation,"Albany, NY",From $40 an hour
SW Engineer,Visa,"Foster City, CA","$94,000 - $132,950 a year"
Software Development Engineer,Adobe,"San Jose, CA","$113,400 - $206,300 a year"
Sr. Software Engineer (Oracle EBS-Supply Chain),Subaru of America,"Camden, NJ","$82,900 - $118,400 a year"
Software Engineer 1,Conservice LLC,United States,Salary not listed
Web Development,Workana,United States,$50 an hour
Software Developer - AI Trainer (Contract),DataAnnotation,"Newport News, VA",From $40 an hour
Full Stack Developer- AI Trainer,DataAnnotation,"Springfield, MO",From $40 an hour
Building Automation Engineer,Novo Nordisk,"West Lebanon, NH",Salary not listed
Software Developer Principal (Oracle Utilities CCS / C2M / MDM),Lower Colorado River Authority,"Austin, TX","$143,100 - $174,900 a year"
Senior Firmware Engineer,True Manufacturing,"O'Fallon, MO","$125,000 - $140,000 a year"
Associate Cloud Software Engineer,Lenovo,"Morrisville, NC",Salary not listed
Jr. Software Engineer,Spontigo,"Vineyard, UT",$15 - $25 an hour
Software Engineer,Adobe,"Lehi, UT","$113,400 - $206,300 a year"
Web development & project management,Workana,United States,$50 an hour
Software Development Engineer II,Expedia Group,"Springfield, MO","$94,500 - $151,000 a year"
Principal Signals Software Engineer (On Site),Raytheon,"State College, PA","$101,000 - $203,000 a year"
Programmer I,Pro Elections LLC,"Murphys, CA",$22 - $27 an hour
Software Engineer (Frontend) - Early in Career,Splunk,Colorado,"$119,200 - $163,900 a year"
Software Engineer III,Ivim Services LLC,United States,"$120,000 - $140,000 a year"
Controls and Automation Engineer,"JCSA Holdings, Inc.","Woodway, TX",Salary not listed
Junior Cloud Engineer (Remote),Aquila Software Group,"Pembroke Pines, FL",Salary not listed
Fresher Java,Aminds Inc,Remote,"From $65,000 a year"
Automation Engineer - AI Trainer,DataAnnotation,"Springfield, MA",From $40 an hour
Associate Security Software Engineer,Disney,"Orlando, FL",Salary not listed
Software Engineers,CCC Information Services Inc.,"Chicago, IL","$87,000 - $91,054 a year"
Software Engineer - ASPX,ProFocus,United States,$55 - $65 an hour
Software Design Quality Engineer Co-op,Johnson & Johnson,"Danvers, MA",$22 an hour
Software Developer - C++ Unix Linux,United Airlines,"Chicago, IL","$87,780 - $119,680 a year"
Software Engineer,BRADY WORLDWIDE INC,"Milwaukee, WI",Salary not listed
Back End Developer- AI Trainer,DataAnnotation,"Boulder, CO",From $40 an hour
Software Development Engineer - Front-end,Adobe,"Lehi, UT","$93,200 - $170,600 a year"
Software Engineer Aide,Radiance Technologies,"Stennis Space Center, MS",Salary not listed
Software Engineer,Siemens,"Bellevue, WA","$110,635 - $157,700 a year"
Software Development Engineer,Delta Airlines,"Atlanta, GA",Salary not listed
Software Engineer II (Contract),Blue Star Partners LLC,"Sylmar, CA",$30 - $45 an hour
Application Developer II,Mecklenburg County,"Mecklenburg County, NC","$79,862 - $119,791 a year"
Software Engineer (Frontend),AstraZeneca,"Gaithersburg, MD","$123,114.40 - $184,671.60 a year"
Software Development Engineer-Golang,Quick Quack Car Wash,California,Salary not listed
Software Engineer II,Microsoft,United States,"$98,300 - $208,800 a year"
Software Developer (Frontend),Healthcare Fraud Shield,United States,Salary not listed
Software Engineer/Developer II,University of Wisconsin System,"Kenosha, WI","$60,000 - $65,000 a year"
Cloud Engineer,Demandwhiz Solutions,United States,"$111,389.52 - $134,146.52 a year"
Automation Engineer (Recent Graduates Welcome),Suzhou Junchuang North America,"Fort Worth, TX","$60,000 - $65,000 a year"
React Engineer,Air Apps,"San Francisco, CA","$75,000 - $99,000 a year"
"Software Engineer I, Customer Experience",Spring Health,"New York, NY","$100,000 - $123,600 a year"
C++ Developer (Green Card or USC),TekValue IT Solutions LLC,Remote,Salary not listed
Junior Developer,C5T Corporation,"Scott AFB, IL","$60,000 - $70,000 a year"
Embedded Software Architect,ASML,"San Diego, CA","$144,000 - $240,000 a year"
FinTech Software Engineer IV,"SelectQuote, Inc.","Overland Park, KS","$140,000 - $160,000 a year"
Full Stack Software Engineer,Allstate,United States,"$62,800 - $114,175 a year"
