Title,Company,Location,Salary
Defense Contract Management Agency,Department of Defense,"Garden City, New York Garden City, New York","Starting at $104,436 Per Year (GS 12)"
Air Force Materiel Command,Department of the Air Force,Multiple Locations,"Starting at $54,557 Per Year (GS 7-9)"
Federal Aviation Administration,Department of Transportation,May be filled in various FAA duty locations,"Starting at $47,813 Per Year (FV G-K)"
Federal Aviation Administration,Department of Transportation,May be filled in various FAA duty locations,"Starting at $47,813 Per Year (FV G-K)"
Federal Aviation Administration,Department of Transportation,May be filled in various FAA duty locations,"Starting at $31,083 Per Year (FG 5-15)"
Maritime Administration,Department of Transportation,"Kings Point, New York Kings Point, New York","Starting at $83,047 Per Year (AD 00)"
Veterans Health Administration,Department of Veterans Affairs,"New York, New York New York, New York","Starting at $146,058 Per Year (GS 13)"
Department of the Air Force - Agency Wide,Department of the Air Force,Multiple Locations,"Starting at $62,107 Per Year (GS 11-15)"
Federal Aviation Administration,Department of Transportation,May be filled in various FAA duty locations,"Starting at $47,813 Per Year (FV G-K)"
Federal Aviation Administration,Department of Transportation,May be filled in various FAA duty locations,"Starting at $47,813 Per Year (FV G-K)"
Federal Aviation Administration,Department of Transportation,May be filled in various FAA duty locations,"Starting at $31,083 Per Year (FG 5-15)"
Federal Aviation Administration,Department of Transportation,May be filled in various FAA duty locations,"Starting at $47,813 Per Year (FV G-K)"
Federal Aviation Administration,Department of Transportation,May be filled in various FAA duty locations,"Starting at $31,083 Per Year (FG 5-15)"
Department of the Air Force - Agency Wide,Department of the Air Force,Multiple Locations,"Starting at $62,107 Per Year (GS 11-15)"
Federal Emergency Management Agency,Department of Homeland Security,Multiple Locations,"Starting at $108,723 Per Year (IC 13)"
Federal Aviation Administration,Department of Transportation,May be filled in various FAA duty locations,"Starting at $67,712 Per Year (FV F-G)"
Veterans Health Administration,Department of Veterans Affairs,"Buffalo, New York Buffalo, New York","Starting at $56,703 Per Year (GS 7-12)"
